2025-06-26 13:13:49,337 INFO    MainThread:2287084 [wandb_setup.py:_flush():68] Current SDK version is 0.19.10
2025-06-26 13:13:49,338 INFO    MainThread:2287084 [wandb_setup.py:_flush():68] Configure stats pid to 2287084
2025-06-26 13:13:49,338 INFO    MainThread:2287084 [wandb_setup.py:_flush():68] Loading settings from /home/alaforgu/.config/wandb/settings
2025-06-26 13:13:49,338 INFO    MainThread:2287084 [wandb_setup.py:_flush():68] Loading settings from /scratch/alaforgu/longitudinal_experiments/RlVAE/src/training/wandb/settings
2025-06-26 13:13:49,338 INFO    MainThread:2287084 [wandb_setup.py:_flush():68] Loading settings from environment variables
2025-06-26 13:13:49,338 INFO    MainThread:2287084 [wandb_init.py:setup_run_log_directory():724] Logging user logs to /scratch/alaforgu/longitudinal_experiments/RlVAE/src/training/wandb/run-20250626_131349-9dejsrjj/logs/debug.log
2025-06-26 13:13:49,338 INFO    MainThread:2287084 [wandb_init.py:setup_run_log_directory():725] Logging internal logs to /scratch/alaforgu/longitudinal_experiments/RlVAE/src/training/wandb/run-20250626_131349-9dejsrjj/logs/debug-internal.log
2025-06-26 13:13:49,339 INFO    MainThread:2287084 [wandb_init.py:init():852] calling init triggers
2025-06-26 13:13:49,339 INFO    MainThread:2287084 [wandb_init.py:init():857] wandb.init called with sweep_config: {}
config: {'experiment_type': 'Cyclic Sequences - Loop Mode OPEN', 'loop_mode': 'open', 'cycle_penalty': 1.0, 'use_riemannian': True, 'riemannian_method': 'geodesic', 'posterior_type': 'riemannian_metric', 'riemannian_beta': 8.0, 'temperature_fix': 3.0, 'input_dim': (3, 64, 64), 'latent_dim': 16, 'n_flows': 8, 'learning_rate': 0.0003, 'beta': 1.0, 'batch_size': 2, 'n_epochs': 1, 'dataset_type': 'cyclic_only', 'train_size': 10, 'val_size': 5, '_wandb': {}}
2025-06-26 13:13:49,339 INFO    MainThread:2287084 [wandb_init.py:init():893] starting backend
2025-06-26 13:13:49,339 INFO    MainThread:2287084 [wandb_init.py:init():897] sending inform_init request
2025-06-26 13:13:49,348 INFO    MainThread:2287084 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-06-26 13:13:49,348 INFO    MainThread:2287084 [wandb_init.py:init():907] backend started and connected
2025-06-26 13:13:49,351 INFO    MainThread:2287084 [wandb_init.py:init():1002] updated telemetry
2025-06-26 13:13:49,353 INFO    MainThread:2287084 [wandb_init.py:init():1026] communicating run to backend with 90.0 second timeout
2025-06-26 13:13:49,845 INFO    MainThread:2287084 [wandb_init.py:init():1101] starting run threads in backend
2025-06-26 13:13:49,992 INFO    MainThread:2287084 [wandb_run.py:_console_start():2566] atexit reg
2025-06-26 13:13:49,992 INFO    MainThread:2287084 [wandb_run.py:_redirect():2414] redirect: wrap_raw
2025-06-26 13:13:49,992 INFO    MainThread:2287084 [wandb_run.py:_redirect():2483] Wrapping output streams.
2025-06-26 13:13:49,992 INFO    MainThread:2287084 [wandb_run.py:_redirect():2506] Redirects installed.
2025-06-26 13:13:49,997 INFO    MainThread:2287084 [wandb_init.py:init():1147] run started, returning control to user process
2025-06-26 13:14:33,233 INFO    MainThread:2287084 [wandb_run.py:_finish():2314] finishing run antoine-laforgue-mines-paris-alumni/cyclic-loop-mode-comparison/9dejsrjj
2025-06-26 13:14:33,233 INFO    MainThread:2287084 [wandb_run.py:_atexit_cleanup():2531] got exitcode: 0
2025-06-26 13:14:33,234 INFO    MainThread:2287084 [wandb_run.py:_restore():2513] restore
2025-06-26 13:14:33,234 INFO    MainThread:2287084 [wandb_run.py:_restore():2519] restore done
2025-06-26 13:14:34,214 INFO    MainThread:2287084 [wandb_run.py:_footer_history_summary_info():4160] rendering history
2025-06-26 13:14:34,215 INFO    MainThread:2287084 [wandb_run.py:_footer_history_summary_info():4192] rendering summary
2025-06-26 13:14:34,216 INFO    MainThread:2287084 [wandb_run.py:_footer_sync_info():4121] logging synced files
